lat,lng,order_id,distance_from_previous,total_distance_from_depot,dlvr_seq_num
43.8121,126.5669,depot,0.27937740173236303,0.27937740173236303,1
43.81414,126.56893,order_1,0.6061308834252295,0.8855082851575925,2
43.81954,126.57,order_2,0.36737401064139147,1.252882295798984,3
43.82254,126.56808,order_3,0.23592739158242085,1.488809687381405,4
43.82126,126.56574,order_4,0.3822676158790144,1.8710773032604193,5
43.82447,126.56403,order_5,0.8971054845701695,2.7681827878305887,6
43.81811,126.55716,order_6,0.6000386885015743,3.368221476332163,7
43.81513,126.55094,order_7,0.6220165084541551,3.9902379847863183,8
43.82043,126.54845,order_8,0.3917481650473046,4.381986149833623,9
43.82377,126.55001,order_9,0.5030148759706329,4.885001025804256,10
43.82785,126.55272,order_10,1.8895855802885877,6.774586606092845,11
43.82599,126.57607,order_11,0.24856219787247455,7.023148803965319,12
43.82581,126.57915,order_12,2.6663804235757977,9.689529227541117,13
43.80953,126.5548,order_13,1.499315668156852,11.188844895697969,14
43.80667,126.53659,order_14,5.545195157532276,16.734040053230245,15
43.77702,126.59201,order_15,4.3904414558852425,21.124481509115487,16
43.8121,126.5669,depot,0.0,21.124481509115487,17
