lat,lng,order_id,distance_from_previous,total_distance_from_depot,dlvr_seq_num
43.8121,126.5669,depot,0.27937740173236303,0.27937740173236303,1
43.81414,126.56893,order_1,0.6061308834252295,0.8855082851575925,2
43.81954,126.57,order_2,0.36737401064139147,1.252882295798984,3
43.82254,126.56808,order_3,0.23592739158242085,1.488809687381405,4
43.82126,126.56574,order_4,0.3822676158790144,1.8710773032604193,5
43.82447,126.56403,order_5,0.8255960482767578,2.6966733515371772,6
43.81791,126.55921,order_6,0.16641478077424712,2.8630881323114243,7
43.81811,126.55716,order_7,0.6000386885015743,3.463126820812999,8
43.81513,126.55094,order_8,0.6220165084541551,4.085143329267154,9
43.82043,126.54845,order_9,0.3400208064105626,4.425164135677717,10
43.82336,126.54723,order_10,0.2282255443395123,4.653389680017229,11
43.82377,126.55001,order_11,0.4775234281840635,5.130913108201293,12
43.82441,126.54414,order_12,0.032510676611879764,5.1634237848131725,13
43.82416,126.54393,order_13,0.8173373890186517,5.980761173831825,14
43.82785,126.55272,order_14,1.8895855802885877,7.870346754120412,15
43.82599,126.57607,order_15,0.24856219787247455,8.118908951992886,16
43.82581,126.57915,order_16,1.1564008894504632,9.275309841443349,17
43.82113,126.59199,order_17,2.5279202091812545,11.803230050624602,18
43.808,126.56633,order_18,0.6566947204547078,12.45992477107931,19
43.80409,126.56021,order_19,0.4449257379204215,12.904850508999731,20
43.80009,126.56047,order_20,0.9072338475269265,13.812084356526658,21
43.79402,126.55293,order_21,1.7298487847223845,15.541933141249043,22
43.80953,126.5548,order_22,1.499315668156852,17.041248809405896,23
43.80667,126.53659,order_23,5.545195157532276,22.586443966938173,24
43.77702,126.59201,order_24,8.150174356819598,30.73661832375777,25
43.76271,126.49273,order_25,8.109012208733454,38.84563053249123,26
43.8121,126.5669,depot,0.0,38.84563053249123,27
