lat,lng,order_id,distance_from_previous,total_distance_from_depot,dlvr_seq_num
43.8121,126.5669,depot,0.27937740173236303,0.27937740173236303,1
43.81414,126.56893,order_1,0.6061308834252295,0.8855082851575925,2
43.81954,126.57,order_2,0.36737401064139147,1.252882295798984,3
43.82254,126.56808,order_3,0.23592739158242085,1.488809687381405,4
43.82126,126.56574,order_4,0.3822676158790144,1.8710773032604193,5
43.82447,126.56403,order_5,0.8255960482767578,2.6966733515371772,6
43.81791,126.55921,order_6,0.16641478077424712,2.8630881323114243,7
43.81811,126.55716,order_7,0.6000386885015743,3.463126820812999,8
43.81513,126.55094,order_8,0.6220165084541551,4.085143329267154,9
43.82043,126.54845,order_9,0.3400208064105626,4.425164135677717,10
43.82336,126.54723,order_10,0.2282255443395123,4.653389680017229,11
43.82377,126.55001,order_11,0.5030148759706329,5.156404555987862,12
43.82785,126.55272,order_12,1.8895855802885877,7.045990136276449,13
43.82599,126.57607,order_13,0.24856219787247455,7.294552334148924,14
43.82581,126.57915,order_14,1.1564008894504632,8.450953223599388,15
43.82113,126.59199,order_15,2.5279202091812545,10.978873432780642,16
43.808,126.56633,order_16,0.6566947204547078,11.635568153235349,17
43.80409,126.56021,order_17,0.744875884559076,12.380444037794424,18
43.80953,126.5548,order_18,1.499315668156852,13.879759705951276,19
43.80667,126.53659,order_19,5.545195157532276,19.424954863483553,20
43.77702,126.59201,order_20,4.3904414558852425,23.815396319368794,21
43.8121,126.5669,depot,0.0,23.815396319368794,22
